                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8747,                 2.6835,                 1.7199,                0.43651,                0.21036,                 0.1693,                0.09185,                 1.8707,                 2.6092,                 1.6678,               0.067104,             0.00033229,             0.00033229
                      2,                 1.8198,                 2.3852,                 1.6949,                 0.4708,                0.21597,                0.20216,                0.11696,                  1.792,                 2.4352,                 1.6482,               0.034097,             0.00065903,             0.00065903
                      3,                  1.799,                 2.2898,                 1.6796,                 0.4907,                0.23112,                0.20764,                0.11557,                 1.8249,                 2.3761,                 1.6329,               0.001084,             0.00097917,             0.00097917
                      4,                 1.7692,                 2.1984,                 1.6587,                0.31649,                0.23662,                0.22187,                0.12586,                 1.7913,                 2.3642,                 1.6312,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7673,                 2.1571,                 1.6551,                0.42519,                0.26066,                 0.2247,                 0.1327,                 1.7663,                  2.216,                 1.5749,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.7433,                 2.0926,                 1.6496,                0.37599,                0.24304,                0.22391,                0.13035,                 1.7643,                 2.2515,                 1.5774,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7195,                 2.0087,                 1.6218,                0.40216,                0.27308,                0.23479,                0.13488,                 1.7783,                 2.1511,                 1.5739,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.7035,                 1.9694,                 1.6076,                0.47205,                0.25071,                0.24425,                0.13492,                 1.7897,                 2.1694,                 1.6088,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6958,                 1.9311,                 1.6087,                0.38914,                0.26664,                0.23612,                0.13868,                  1.767,                 2.1695,                  1.611,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6845,                 1.8992,                 1.6039,                0.41864,                0.26079,                 0.2382,                  0.131,                 1.8516,                 2.1598,                 1.6176,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.6643,                 1.8625,                 1.5905,                0.39272,                 0.2665,                0.25005,                0.14398,                 1.7758,                 2.1477,                 1.5973,              0.0009109,              0.0009109,              0.0009109
                     12,                  1.654,                 1.8329,                 1.5825,                0.39096,                0.28611,                0.25245,                0.14275,                 1.7908,                 2.0749,                 1.6165,               0.000901,               0.000901,               0.000901
                     13,                 1.6494,                 1.8025,                 1.5737,                0.40342,                0.28612,                0.26025,                0.14511,                 1.7697,                 2.0549,                 1.5956,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.6441,                 1.7724,                 1.5716,                0.41293,                  0.285,                0.26104,                0.15288,                 1.7403,                 2.0588,                 1.5707,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.6359,                  1.747,                 1.5627,                 0.4107,                0.29524,                0.25735,                0.14761,                 1.7859,                 2.0471,                 1.5943,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.6266,                 1.7195,                 1.5581,                0.38874,                0.29685,                 0.2562,                0.15002,                 1.7773,                 2.0583,                 1.5728,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.6212,                  1.714,                 1.5503,                0.40643,                0.27734,                0.25245,                0.14017,                 1.8607,                 2.0763,                 1.6245,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.6167,                 1.6878,                 1.5542,                0.34411,                0.29239,                0.25791,                0.14614,                  1.792,                  2.042,                 1.6036,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5997,                 1.6535,                 1.5371,                 0.3836,                0.30095,                 0.2516,                0.13817,                 1.8783,                 2.0732,                 1.6458,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.5874,                 1.6285,                 1.5309,                0.46891,                0.25722,                 0.2478,                0.13783,                  1.866,                  2.129,                 1.6381,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.5913,                 1.6123,                 1.5224,                0.41827,                 0.2853,                 0.2504,                0.13882,                 1.9038,                 2.0434,                 1.6346,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.5778,                 1.5932,                 1.5279,                0.36247,                0.29436,                0.26139,                0.14948,                 1.7943,                 2.0234,                 1.5956,               0.000802,               0.000802,               0.000802
                     23,                 1.5731,                 1.5725,                 1.5184,                0.44841,                 0.2799,                0.25824,                0.14376,                 1.8608,                 2.0396,                 1.6162,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.5695,                 1.5545,                  1.515,                0.34308,                0.30341,                0.25489,                0.14575,                 1.8084,                 2.0172,                 1.6088,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.5644,                 1.5389,                 1.5041,                0.25504,                0.29446,                0.24693,                0.13688,                 1.8942,                 2.0661,                 1.6409,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.5575,                 1.5123,                 1.5039,                 0.2857,                0.31052,                0.25803,                0.14481,                 1.8613,                 2.0428,                 1.6287,              0.0007624,              0.0007624,              0.0007624
                     27,                  1.549,                 1.5005,                 1.4933,                0.28405,                0.31249,                0.26285,                0.14626,                 1.8503,                 2.0298,                 1.6195,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.5463,                 1.4774,                 1.4977,                0.38577,                0.30764,                0.26884,                0.14824,                 1.8839,                 1.9827,                  1.647,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.5321,                 1.4504,                 1.4832,                0.28373,                 0.3318,                 0.2634,                0.14896,                 1.8524,                 1.9991,                 1.6268,              0.0007327,              0.0007327,              0.0007327
